cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	doublet_rate	cnv_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	candidate_sites_file	true_sites_file	num_candidate_mutated_sites	num_background_sites	tp	fp	fn	recall	precision	f1_score	tp_M	fn_M	recall_M	tp_D	fn_D	recall_D	tp_M&D&(~I)	fn_M&D&(~I)	recall_M&D&(~I)
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0001	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0001/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0001/true_evo_events_sites_names	466	3454	466	0	268	0.6348773841961853	1.0	0.7766666666666666	466	171	0.7315541601255887	99	127	0.4380530973451327	99	30	0.7674418604651163
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0002	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0002/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0002/true_evo_events_sites_names	511	3722	511	0	283	0.6435768261964736	1.0	0.7831417624521073	511	176	0.7438136826783115	106	126	0.4568965517241379	106	19	0.848
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0003	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0003/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0003/true_evo_events_sites_names	457	3550	457	0	295	0.6077127659574468	1.0	0.7559966914805625	457	194	0.7019969278033794	82	138	0.3727272727272727	82	37	0.6890756302521008
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0004	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0004/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0004/true_evo_events_sites_names	486	4318	486	0	334	0.5926829268292683	1.0	0.7442572741194488	486	214	0.6942857142857143	77	158	0.3276595744680851	77	38	0.6695652173913044
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0005	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0005/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0005/true_evo_events_sites_names	434	3534	434	0	306	0.5864864864864865	1.0	0.7393526405451448	434	211	0.6728682170542636	88	127	0.4093023255813953	88	32	0.7333333333333333
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0006	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0006/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0006/true_evo_events_sites_names	393	2642	393	0	167	0.7017857142857142	1.0	0.8247639034627492	393	102	0.793939393939394	87	95	0.478021978021978	87	30	0.7435897435897436
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0007	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0007/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0007/true_evo_events_sites_names	496	3968	496	0	309	0.6161490683229813	1.0	0.7624903920061491	496	204	0.7085714285714285	88	148	0.3728813559322034	88	43	0.6717557251908397
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0008	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0008/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0008/true_evo_events_sites_names	482	4244	482	0	336	0.589242053789731	1.0	0.7415384615384616	482	218	0.6885714285714286	83	160	0.3415637860082304	83	42	0.664
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0009	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0009/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0009/true_evo_events_sites_names	357	4945	357	0	464	0.4348355663824604	1.0	0.6061120543293718	357	343	0.51	56	170	0.247787610619469	56	49	0.5333333333333333
40	20	10	0.001999	0.3	2e-06	0.0	0.02	0	0010	indelsieve	candidate_snvs	smc_mudel_sa_stage_1	mt	no_cnv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/mt/no_cnv/smc_mudel_sa_stage_1/0010/readCounts.tsv	/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_doublet_1/benchmark_results/simulated_data/results/data_type/no_cnv/0010/true_evo_events_sites_names	392	4629	392	0	422	0.4815724815724815	1.0	0.6500829187396352	392	308	0.56	55	162	0.2534562211981567	55	48	0.5339805825242718
